TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_75,SIF_GOME,SIF_GOME_NORM
200101,1.49278,1.45361,1.51992,1.0706,1.07237,1.12547,1.82315,1.72427,1.92926,1.40903,1.42238,1.47713,-9999,-9999
200102,2.81101,2.74103,2.93469,2.96285,2.89456,3.13005,2.92316,2.69466,3.08682,3.22482,3.19009,3.4426,-9999,-9999
200103,4.21841,4.205,4.44219,4.48605,4.48532,4.7411,4.39603,3.8525,4.29848,4.53188,4.44823,4.61031,-9999,-9999
200104,3.54713,3.50059,3.6589,5.50664,5.44236,5.57267,3.69087,3.51489,3.70518,5.60276,5.51555,5.66598,-9999,-9999
200105,5.25574,5.15808,5.59598,8.0196,7.78113,8.45362,5.04262,4.47992,4.86464,7.63682,7.37016,7.76123,-9999,-9999
200106,6.29494,6.38754,7.0069,11.1445,11.0621,11.8603,5.68343,5.86471,6.85045,11.0031,10.9301,11.4312,-9999,-9999
200107,6.44076,6.53068,6.98685,9.48127,9.39737,9.8583,7.84781,6.88223,8.15389,10.8981,9.52524,11.0937,-9999,-9999
200108,6.79433,6.66957,7.4123,7.47491,7.39266,8.16242,6.03003,5.69505,6.33776,7.12809,6.8586,7.13155,-9999,-9999
200109,3.52411,3.42118,3.59986,3.52395,3.45832,3.58575,3.86434,3.39845,3.8536,3.73457,3.70832,3.91006,-9999,-9999
200110,4.18101,4.01087,4.28134,3.45668,3.47935,3.70332,4.66268,4.07674,4.53262,3.64427,3.69467,3.87691,-9999,-9999
200111,2.96586,2.94072,3.0193,2.66633,2.64828,2.73162,2.71183,2.69029,2.83197,2.76178,2.69763,2.77822,-9999,-9999
200112,2.36023,2.14737,2.43185,1.62447,1.42623,1.61771,2.00427,1.76994,2.19734,1.57813,1.53768,1.74159,-9999,-9999
200201,2.46844,2.21866,2.46844,1.50274,1.38844,1.5031,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200202,2.44819,2.44027,2.54683,1.79711,1.78285,1.8425,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200203,3.07714,2.95313,3.08374,2.88761,2.75801,2.91932,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200204,3.41585,3.23652,3.48556,3.88794,3.71686,3.97993,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200205,4.49686,4.43826,4.56017,6.04932,6.00536,6.09694,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200206,5.70783,5.6633,5.9365,7.17476,7.17476,7.29985,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200207,5.43847,5.36148,5.48541,5.82641,5.76942,5.82887,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200208,4.68007,4.60579,4.73925,4.28535,4.23075,4.35685,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200209,3.26382,2.82629,3.40741,3.70103,3.49441,3.92609,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200210,2.77644,2.74204,2.76794,2.63117,2.6214,2.64275,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200211,3.24778,3.23888,3.28767,1.81336,1.81336,1.90928,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200212,2.41967,2.39905,2.45284,1.35438,1.31731,1.37943,1.797,1.58833,2.09755,0,0,0,-9999,-9999
200301,2.54417,2.50556,3.31333,2.25738,1.73351,2.70074,2.04305,1.92128,2.41468,1.28437,1.15696,1.43298,-9999,-9999
200302,2.65035,2.61856,3.46248,2.06128,1.69041,2.43087,2.07403,1.95521,2.56067,2.1216,1.96574,2.35709,-9999,-9999
200303,3.70121,3.60448,4.76216,4.08739,3.66433,4.65369,2.74594,2.46931,3.20096,3.55175,3.31453,3.72714,-9999,-9999
200304,4.07779,4.02854,4.19138,5.35492,5.25951,5.36873,4.40593,3.74336,4.19821,5.29501,5.22239,5.38633,-9999,-9999
200305,4.20665,3.52763,4.30117,7.43895,7.17867,7.53576,3.03332,3.1456,3.49512,6.62846,6.63133,6.82907,-9999,-9999
200306,6.75222,6.43506,6.82406,9.26075,9.32621,9.6839,4.44821,4.02871,4.38128,8.03891,7.89954,8.15924,-9999,-9999
200307,5.36252,5.29742,5.59026,7.40097,7.00999,7.44597,3.38068,2.83717,3.44753,7.01993,6.93565,7.16169,-9999,-9999
200308,5.40346,5.14171,5.55696,4.57733,4.33188,4.81898,3.44236,3.13359,3.44753,3.35015,3.34522,3.51405,-9999,-9999
200309,5.42739,5.07135,5.46992,5.23637,4.75331,5.31598,3.50764,3.37775,4.36567,4.83036,4.53234,4.97086,-9999,-9999
200310,4.15572,3.42897,4.07727,3.97973,4.03187,4.14212,2.93114,2.62479,3.10062,3.85831,3.59824,3.85283,-9999,-9999
200311,4.11593,2.30074,4.11593,3.3822,2.88989,3.40832,2.65737,2.68332,2.84055,2.81166,2.74458,2.88861,-9999,-9999
200312,2.57211,2.56337,2.82026,2.26571,2.24893,2.37166,2.1402,1.83385,2.10571,2.2037,2.14606,2.21749,-9999,-9999
200401,0.743619,0.530493,0.835348,0.437945,0.349772,0.453645,1.41746,0.725511,5.46308,1.63149,1.49438,2.77949,-9999,-9999
200402,1.77256,1.79962,2.01265,3.09406,3.12313,3.45698,2.68228,1.87944,2.6255,3.02311,2.88813,3.37699,-9999,-9999
200403,2.33877,2.35556,2.52369,3.86298,3.8807,4.08336,2.82961,2.26244,2.78922,4.46908,4.37559,4.71681,-9999,-9999
200404,3.86553,3.76195,3.89234,5.98123,5.88181,6.00933,3.04801,2.71594,3.03434,5.38031,5.33509,5.51185,-9999,-9999
200405,4.05847,3.99809,4.08572,7.37758,7.36812,7.40547,4.26151,3.84381,4.07889,7.24319,7.24319,7.3565,-9999,-9999
200406,6.30044,6.09314,6.25474,10.2548,10.1175,10.2548,4.26594,4.22866,4.3496,9.04275,8.98934,9.0851,-9999,-9999
200407,5.84269,5.7481,5.95126,8.92371,8.84758,9.26452,4.76375,4.92503,5.15111,8.5974,8.47582,8.5974,-9999,-9999
200408,6.95393,6.90639,7.0746,7.7517,7.58246,7.84587,6.50195,6.02957,6.87933,7.24366,7.28427,7.45651,-9999,-9999
200409,5.38486,5.38486,5.76524,5.97983,5.97983,6.34417,4.87179,4.6856,4.87179,6.25471,5.93211,6.32424,-9999,-9999
200410,5.50844,5.43275,5.51238,4.53784,4.55285,4.59416,5.17139,4.64911,6.00592,4.4789,4.46822,5.04667,-9999,-9999
200411,2.74404,1.50046,2.71542,3.52398,2.4163,3.52398,1.95051,1.49673,1.95051,2.99486,2.89357,3.21367,-9999,-9999
200412,1.99179,1.6977,2.06606,2.04701,1.77,2.17887,1.12934,0.995827,1.50767,1.6057,1.63381,1.78635,-9999,-9999
200501,2.334,2.25243,2.334,2.35654,2.34642,2.35415,1.6954,1.30124,1.64113,2.3541,2.03786,2.3541,-9999,-9999
200502,1.71368,1.70367,1.72289,2.18707,2.18357,2.22103,1.24036,1.2637,1.33703,2.25418,2.23577,2.26954,-9999,-9999
200503,3.02102,3.00321,3.1039,3.2835,3.29371,3.35219,2.20791,2.20791,2.3576,2.85436,2.92626,3.00311,-9999,-9999
200504,3.54616,2.9953,3.55195,4.87839,4.38434,4.8921,3.52522,3.37314,3.57046,4.6845,4.65231,4.7083,-9999,-9999
200505,4.66004,4.55733,4.73772,7.23211,7.22844,7.31768,3.20259,3.14541,3.34716,6.28327,6.29366,6.36706,-9999,-9999
200506,5.34082,5.24144,5.34099,7.30375,7.30178,7.34751,2.72616,2.68819,2.74211,5.394,5.38788,5.45789,-9999,-9999
200507,4.88939,4.63133,4.87436,6.11786,6.03569,6.12201,2.86606,2.79749,3.14501,5.1704,5.12537,5.26164,-9999,-9999
200508,3.39592,3.23849,3.42761,2.70332,2.70332,2.82673,1.41714,1.64533,1.72836,2.2638,2.26028,2.32263,-9999,-9999
200509,4.44003,4.35517,4.55945,3.42849,3.34172,3.51735,3.06898,2.79195,3.02908,2.7692,2.77387,2.93602,-9999,-9999
200510,5.89354,5.82627,6.04516,3.67446,3.6206,3.70714,4.55034,4.1689,4.51171,3.64585,3.52521,3.64616,-9999,-9999
200511,4.1051,3.96139,4.11459,3.18214,3.17769,3.19759,2.48121,1.65226,2.56095,2.31185,2.32149,2.41826,-9999,-9999
200512,1.17474,1.09079,1.18795,2.24873,2.14312,2.2396,0.868378,0.633781,1.26771,1.4896,1.49269,1.75253,-9999,-9999
200601,1.69945,1.6944,1.74611,2.10634,2.07292,2.14972,1.08744,1.03476,1.33334,1.93813,1.82161,1.91758,-9999,-9999
200602,1.83022,1.81684,1.8419,2.5964,2.55703,2.62674,1.69014,1.72482,2.02444,2.0289,2.01941,2.17618,-9999,-9999
200603,2.3372,2.19086,2.3524,3.14474,3.0408,3.14503,2.66277,1.82919,2.73551,2.74658,2.74704,3.26013,-9999,-9999
200604,3.18964,3.03204,3.22423,5.26488,5.10405,5.23093,2.44219,2.21097,2.36642,4.67857,4.73043,4.81668,-9999,-9999
200605,4.16837,4.20678,4.46337,6.46328,6.44513,6.71012,3.46259,3.51511,3.6699,6.13506,6.13738,6.20732,-9999,-9999
200606,5.32448,5.32448,5.40116,8.30925,8.30687,8.38615,5.02817,4.78963,5.02817,8.15067,8.09411,8.17791,-9999,-9999
200607,6.06672,5.78443,6.06672,6.59501,6.58684,6.76638,4.99252,4.86196,5.20876,6.24848,5.98395,6.22747,-9999,-9999
200608,3.16065,3.14768,3.39913,3.86634,3.74884,3.98401,2.81743,2.81743,3.11856,3.77361,3.57821,3.69069,-9999,-9999
200609,5.13607,5.02259,5.11274,4.01062,3.92179,4.03485,2.8247,2.47652,3.13405,2.94042,3.0509,3.41827,-9999,-9999
200610,5.01755,4.69471,4.99643,3.84822,3.41871,3.84822,2.8414,2.89703,3.46208,3.16789,2.97542,3.27012,-9999,-9999
200611,4.4428,4.41877,4.48462,3.43595,3.43501,3.47068,3.88254,3.62019,4.00976,3.10143,3.12173,3.19512,-9999,-9999
200612,1.96795,1.81438,2.04642,2.4238,2.4238,2.53545,2.95287,2.54801,2.90254,2.09835,2.0541,2.19981,-9999,-9999
200701,0.0360399,0.00405131,0.0359563,1.40226,1.40062,1.47268,2.71934,1.94106,2.31385,1.73493,1.81327,1.98964,-9999,-9999
200702,1.96226,1.96489,2.01937,2.24482,2.21566,2.27053,3.25563,3.16856,3.26018,2.85238,2.85276,2.89577,0.024476336,0.1425956
